year,Freshwater_index,Freshwater_lower,Freshwater_upper
1970,100,100,100
1971,97.8583836,94.1536681,101.9137098
1972,98.415964,94.2174643,103.044731
1973,96.6372532,92.1780195,101.5142801
1974,92.5651845,88.0381081,97.4741319
1975,89.2381274,84.708426,94.2115692
1976,85.3046468,80.7131445,90.2616866
1977,82.3389121,77.6124136,87.3588482
1978,80.9869339,76.2248807,86.2072953
1979,78.8822277,73.9923954,84.1820077
1980,75.8337047,70.832683,81.1893688
1981,75.2246789,69.019192,82.6604754
1982,71.6386671,65.3299835,79.2047714
1983,68.0120395,61.7376714,75.4781281
1984,63.217455,55.8054194,71.5908457
1985,61.6110827,53.2798296,71.0483055
1986,58.4417937,50.0373411,68.3139764
1987,53.7473384,45.5164815,63.1717394
1988,49.5230788,41.5122672,58.850647
1989,48.1652616,40.0476598,57.5964974
1990,49.3746526,40.7192344,59.7031428
1991,45.2103906,36.9213661,55.1331896
1992,43.6449809,35.2102741,53.8574307
1993,43.1479772,34.521089,53.6456124
1994,39.5064799,31.4799094,49.6593371
1995,38.3397102,30.2571555,48.5412304
1996,35.7649201,28.1310916,45.4347716
1997,33.2933267,26.1001325,42.5761858
1998,30.4820366,23.7326171,39.1798529
1999,28.9610974,22.4718263,37.312232
2000,27.7155442,21.3604834,35.9926612
2001,25.9412118,19.9556369,33.7812529
2002,23.6002374,17.7557342,31.3130535
2003,23.0914646,17.2828708,30.6202115
2004,23.345722,17.3693383,31.1858499
2005,20.9693612,15.375325,28.5335915
2006,20.2308865,14.7619762,27.6293756
2007,19.2347982,13.9408365,26.4996216
2008,19.1034303,13.7879559,26.3554893
2009,19.1009743,13.7309796,26.4915355
2010,18.6605302,13.2892476,26.0415615
2011,16.7953369,11.7375753,23.8160139
2012,15.4784996,10.5906175,22.2955859
2013,14.9574758,10.2299274,21.7539738
2014,15.3329664,10.4058221,22.2814494
2015,15.6500523,10.6202971,22.7748502
2016,15.5070688,10.5370913,22.5240961